"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13922","Каталог заданий: ЗПР ""Вероятность и статистика. 7.1"" — Класс 5","default","Thu Apr 02 16:00:25 UTC 2026","passed","Thu Apr 02 16:00:39 UTC 2026","AuTestCatalogTask","","",""
"","34088","Каталог заданий: Школьная программа ""Русский язык"" — Класс 2","default","Thu Apr 02 14:38:03 UTC 2026","passed","Thu Apr 02 14:38:37 UTC 2026","AuTestCatalogTask","","",""
"","18268","Каталог заданий: ЗПР ""Геометрия. 7.1"" — Класс 3","default","Thu Apr 02 15:55:14 UTC 2026","passed","Thu Apr 02 15:55:32 UTC 2026","AuTestCatalogTask","","",""
"","25093","Каталог заданий: ЗПР ""Окружающий мир. 7.1"" — Класс 4","default","Thu Apr 02 15:55:36 UTC 2026","passed","Thu Apr 02 15:56:01 UTC 2026","AuTestCatalogTask","","",""
"","16073","Каталог заданий: Подготовка к контрольным работам ""Химия"" — Класс 1","default","Thu Apr 02 14:58:53 UTC 2026","passed","Thu Apr 02 14:59:09 UTC 2026","AuTestCatalogTask","","",""
"","16678","Каталог заданий: ТНР ""Вероятность и статистика. 5.1"" — Класс 5","default","Thu Apr 02 15:21:09 UTC 2026","passed","Thu Apr 02 15:21:26 UTC 2026","AuTestCatalogTask","","",""
"","28192","Каталог заданий: Подготовка к ВПР ""Химия"" — Класс 2","default","Thu Apr 02 14:54:44 UTC 2026","passed","Thu Apr 02 14:55:12 UTC 2026","AuTestCatalogTask","","",""
"","12392","Каталог заданий: ЗПР ""Английский язык. 7.1"" — Класс 2","default","Thu Apr 02 15:59:33 UTC 2026","passed","Thu Apr 02 15:59:46 UTC 2026","AuTestCatalogTask","","",""
"","61903","Каталог заданий: Слепые ""История. 3.1"" — Класс 4","default","Thu Apr 02 15:26:46 UTC 2026","passed","Thu Apr 02 15:27:48 UTC 2026","AuTestCatalogTask","","",""
"","20588","Каталог заданий: Слепые ""Геометрия. 3.1"" — Класс 1","default","Thu Apr 02 15:25:11 UTC 2026","passed","Thu Apr 02 15:25:32 UTC 2026","AuTestCatalogTask","","",""
"","25633","Каталог заданий: ЗПР ""Русский язык. 7.1"" — Класс 1","default","Thu Apr 02 15:53:17 UTC 2026","passed","Thu Apr 02 15:53:42 UTC 2026","AuTestCatalogTask","","",""
"","24561","Каталог заданий: Слабовидящие ""Русский язык. 4.1"" — Класс 6","default","Thu Apr 02 15:31:24 UTC 2026","passed","Thu Apr 02 15:31:49 UTC 2026","AuTestCatalogTask","","",""
"","25926","Каталог заданий: ТНР ""Русский язык. 5.1"" — Класс 6","default","Thu Apr 02 15:15:55 UTC 2026","passed","Thu Apr 02 15:16:21 UTC 2026","AuTestCatalogTask","","",""
"","14107","Каталог заданий: НОДА ""Вероятность и статистика. 6.1"" — Класс 3","default","Thu Apr 02 16:08:26 UTC 2026","passed","Thu Apr 02 16:08:41 UTC 2026","AuTestCatalogTask","","",""
