"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8306","Создание класса в ""Чат с учениками""","default","Sat Feb 28 15:26:15 UTC 2026","passed","Sat Feb 28 15:26:23 UTC 2026","Tests Teacher Cabinet","","",""
"","7303","Курс. Ввести код от учителя (вход по ссылке)","default","Sat Feb 28 15:32:37 UTC 2026","passed","Sat Feb 28 15:32:45 UTC 2026","Tests Course Educonts- student","","",""
"","51810","Поиск заданий","default","Sat Feb 28 15:22:25 UTC 2026","broken","Sat Feb 28 15:23:17 UTC 2026","Tests Parent Catalog Tasks","","",""
"","16291","Удаление из класса ученика, который не ввел код приглашения","default","Sat Feb 28 15:26:27 UTC 2026","passed","Sat Feb 28 15:26:43 UTC 2026","Tests Teacher Cabinet","","",""
"","15985","Задание. Пройти опрос (ученик присоединен по коду)","default","Sat Feb 28 15:34:17 UTC 2026","passed","Sat Feb 28 15:34:33 UTC 2026","Tests Tasks Educonts- student","","",""
"","50106","Самостоятельный ученик: Авторизация по логину и паролю","default","Sat Feb 28 15:21:18 UTC 2026","broken","Sat Feb 28 15:22:08 UTC 2026","Tests: Landing autorization","","",""
"","14806","Курс. Онбординг-учитель авторизован. Демо","default","Sat Feb 28 15:31:07 UTC 2026","passed","Sat Feb 28 15:31:22 UTC 2026","Tests Course Educonts","","",""
"","15758","Задания. Переход из тренажера учителя (авторизованный) в тренажер ученика (присоединен)","default","Sat Feb 28 15:29:44 UTC 2026","failed","Sat Feb 28 15:29:59 UTC 2026","Tests Tasks Educonts","","",""
"","14229","Поиск заданий","default","Sat Feb 28 15:24:03 UTC 2026","passed","Sat Feb 28 15:24:17 UTC 2026","Tests Indep Student Catalog Tasks","","",""
"","27253","Учитель: Регистрация по email и коду","default","Sat Feb 28 15:18:43 UTC 2026","passed","Sat Feb 28 15:19:11 UTC 2026","Tests: All users register","","",""
"","50104","Учитель: Авторизация по email и паролю","default","Sat Feb 28 15:20:27 UTC 2026","broken","Sat Feb 28 15:21:17 UTC 2026","Tests: Landing autorization","","",""
